用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
小蕊锐雯（永劫无间）,a3481488019960720,MS4wLjABAAAAYVaqukqrvpZLQRObfqmpdZdhFLGL2bKluTBz5PzJNbxFMOgm1dyit-RdS9Z2AdY4,73,2024.12.28,a7453301819452738873,https://www.douyin.com/video/7453301819452738873,感谢大家帮忙举报一下烬 #英雄联盟#英雄联盟摆烂 #英雄联盟环境还有救吗,00:51,48,2,147,0,9,206
无聊愁云,a2250036658584192,MS4wLjABAAAAIs65xi8cEp_ABxZFT5H55ulCuzBnRkAlwuuCQ4F-tmcfRo6ovoiRQJFzq26PYvbj,108,2024.12.25,a7452368117516225846,https://www.douyin.com/video/7452368117516225846,摆烂、吵架的队友，在乎的是游戏体验还是输赢？ #游戏日常 #英雄联盟 #游戏 #LOL #游戏分享,04:01,464,19,273,0,14,770
月色  ˗ˋˏᰔᩚˎˊ˗,a3600219866928259,MS4wLjABAAAAe6D889ZpkcbPx3gg65G7FtzXBM4ZNPNAItyhWrwkZO5DjHLsc3WsBlgZViTjuDyu,362,2024.10.28,a7430489737678392627,https://www.douyin.com/video/7430489737678392627,现在的英雄联盟真像个垃圾游戏 排位机制不是送人头就是挂机 摆烂 恶心队友的 #lol #游戏日常,00:15,29,1,56,0,4,90
闪电猫_AD,a1975182456793088,MS4wLjABAAAAm33LjRe8mtDQAa8AetxU9dxW1LQ69c1w2BcsyHJ87KISF9U_nE-PtJDki3W2EbGs,1153,2024.12.08,a7445738649599102227,https://www.douyin.com/video/7445738649599102227,队友摆烂说我消极比赛6的 #elo #adc #lol 本来这个版本下路就是辣鸡，每把都是在下路打着打着队友全炸了，然后对面看一眼我们，发现我下路还没死过，过来4包2，杀完我们队友活了，顺手又杀一次，我是能线杀对面，但我也顶不住对面凯影塞拉斯破败王，这种局谁能赢？必须把胜率拉到50吗？,01:10,429,24,1152,0,285,1890
小阿杰啊,a63211026119,MS4wLjABAAAAxJHci2PrxUbJNsqz_8E49igwFfGJE2xbFq9TrhXaI5Y,239,2024.07.28,a7396511323300842778,https://www.douyin.com/video/7396511323300842778,国服第一艾克1v9，队友摆烂挂机随便赢？ #英雄联盟 #艾克,05:53,15,0,9,0,1,25
娃哈哈杀手,a81723721956,MS4wLjABAAAA9F7wYNdfsX2WwBVop7LUaGSkkxYGlDXirrNjdwbH-FM,676401,2023.11.19,a7303004755775769882,https://www.douyin.com/video/7303004755775769882,你有没有碰到过这样的队友#lol #联盟的魅力 #游戏日常 #男枪 #日常排位,05:59,4827,226,950,0,87,6090
秒神梦魇（接包天）,a97267058060,MS4wLjABAAAAlFgA7UnPkd9vN-U08Ygvo7FjH7SAmiJpn1JVtGw_S7o,7947,2024.10.23,a7428808027463109951,https://www.douyin.com/video/7428808027463109951,这游戏还能玩？#lol #游戏日常分享 #lol机制 #机制 #摆烂队友,01:22,238,15,905,0,48,1206
3DM嘟知道,a29025411011924,MS4wLjABAAAAqSynrWxRSXdnJhbDy2YGGt4rPJKGSVZZc9-DW80GCSM,6699,2024.07.13,a7390701327891959055,https://www.douyin.com/video/7390701327891959055,摆烂玩家的末日！联盟官方考虑将永久封禁摆烂玩家机器码 #英雄联盟,00:31,27,1,22,0,11,61
iu1,a679930410043795,MS4wLjABAAAAZI8bBiXMGmOuImwLbUOizlAebPDvpf1aXfRJG4MQkl0,3594,2024.11.19,a7438472774022204722,https://www.douyin.com/video/7438472774022204722,"逆天阵容,队友摆烂,16杀带飞 #千珏 #英雄联盟 #打野 #直播回放 #翡翠",05:47,1135,33,96,1581,317,0
焰火jug(包天外服PW),a1583749424219757,MS4wLjABAAAAqr-h6uVAxPZoOd-ToyqdIy6Paj96vnmjZl5NPkZFYxL4b76Xwk3KTcqTDbsBLBH0,10424,2024.10.13,a7425006091500604723,https://www.douyin.com/video/7425006091500604723,ELO 队友吵架摆烂 基地五十血翻盘 要素拉满的一集！ #lol #男枪 #游戏日常,05:47,376,16,64,0,39,495
老四解说,a98116502042,MS4wLjABAAAA2kOA6XDiEZspFLYJ1uTwNCthChnuGRA4s7tl6hZHLp4,424852,2024.04.27,a7362503219244846345,https://www.douyin.com/video/7362503219244846345,联盟玩家为什么要摆烂？（深度还原联盟玩家如何被ELO机制制裁） #英雄联盟手游 #lol手游,02:01,1935,123,1906,8,377,4349
神明电竞工作室（接包天）,a3037300947440987,MS4wLjABAAAAMeZjRqlOvHhwLnHsxMvCk4EFKcVgY8K42awksH2BnrlHwqMvS2FD9G0sxV1k1yMd,2781,2024.08.18,a7404334660894985526,https://www.douyin.com/video/7404334660894985526,自己血c如麻，队友却在嘻嘻哈哈的摆烂 心态爆炸#lol #狼人 #破防,02:21,49,3,30,0,4,86
夏季,a1614495673750468,MS4wLjABAAAA51_toLdPISDpF-mUYRMKwROa24R3FiQHrlvCgBNZgZ0vGGZDNdZQwZreMjrc_G2u,147959,2024.10.15,a7425765940752633138,https://www.douyin.com/video/7425765940752633138,有时候真的不是自己想和队友吵架 莫名其妙就摆烂#lolm,02:03,3594,176,643,3,387,4803
LOL手游天天,a3778340356626271,MS4wLjABAAAA9d2mr4bRx5paIDy8cnoi_OjE4E0n93K5LppHS4u4UvEICmzSHC1Sp5OaQ-ybrZa4,28340,2024.08.18,a7404488858143952139,https://www.douyin.com/video/7404488858143952139,英雄联盟手游目前说人机队友和摆烂玩家的声音有点多~ #lol手游进化海克斯峡谷 #lolm #英雄联盟手游,00:46,307,13,565,0,13,898
十三悟空 lolm,a97173618790,MS4wLjABAAAAEaxb-1ZGThwoDRCLsPmtCtFG9fFkljac_BhAgHip8F8,18994,2024.11.23,a7440352178356653312,https://www.douyin.com/video/7440352178356653312,上来说我菜然后我带他飞然后他摆烂，你们见过最奇葩的队友有多奇 #英雄联盟手游#lol手游进化海克斯峡谷 #游戏日常,02:45,55,2,13,0,1,71
